Rank, ,Player,Position,Draft Age,Height,Wingspan,Weight,GP,MPG,PTS/G,AST/G,TOV/G,STL/G,BLK/G,ORB/G,DRB/G,TRB/G,PF/G,2P%,3P%,FT%,eFG%,TS%,USG%,AST%,TOV%,STL%,BLK%,ORB%,DRB%,TRB%,ORtg,DRtg,OWS,DWS,WS,OBPM,DBPM,BPM
1,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4433255.png"" height=""40""></img>",Chet Holmgren,Forward,20.1,84,"7'6""",195,13,25.2,13,2.3,2.1,0.3,3.3,2,6.4,8.4,2,50,13,30,67.5,68.5,22.2,15.3,17.9,0.7,13,9.7,24.9,18.1,126.2,79.1,1.3,1.2,2.5,7.5,6.8,14.3
2,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432573.png"" height=""40""></img>",Paolo Banchero,Forward,19.6,82,"7'0 1/2 """,250,12,28.4,17.1,2.2,2.2,1.4,0.7,1.3,6,7.3,1.9,61,12,47,52.7,57.9,29.2,13.3,12.8,2.8,2.3,5.4,22.3,14.2,114.1,87.5,1.1,0.9,2.1,4.5,2.3,6.9
3,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432639.png"" height=""40""></img>",Jabari Smith,Forward,19.1,82,"7'0""",220,13,27.2,16.2,2.2,1.7,1.7,0.9,0.7,6.2,6.9,1.8,40,30,40,54.1,58.4,27.3,16.1,10.9,3.5,3.8,2.7,24.2,13.6,117.8,82.9,1.2,1.1,2.4,7.8,5.3,13.1
4,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4433218.png&w=350&h=254"" height=""40""></img>",Jaden Ivey,Combo Guard,20.4,76,"6'10""",195,13,28.2,16.7,3.2,2.4,1.3,0.5,0.4,4.7,5.1,1.8,47,28,39,62.7,64.9,26.8,20.5,15.6,2.7,2.3,1.8,17.6,10.6,124.8,93.6,1.6,0.8,2.4,7,3.3,10.3
5,"<img src=""https://ak-static.cms.nba.com/wp-content/uploads/headshots/gleague/1040x760/1630702.png"" height=""40""></img>",Jaden Hardy,Wing,20,76,"6'8 1/2 """,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4433621.png"" height=""40""></img>",Jalen Duren,Big,18.6,83,"7'5 1/4 """,250,11,24.5,11.1,1.2,2.2,0.8,2.6,2.5,5,7.5,2.8,50,0,22,67.60000000000001,66.3,19.8,9.7,20.7,1.8,12.1,12,21.3,17,115.4,89.6,0.7,0.7,1.3,3.3,4.2,7.5
7,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4433246.png"" height=""40""></img>",Patrick Baldwin Jr.,Wing,19.6,81,"6'11""",220,7,30.1,15,1.9,2,0.9,0.9,1,6,7,1.6,20,15,20,44.7,48.9,29.8,14.6,11.5,1.6,2.9,3.7,19.3,12,96.6,97.9,0.2,0.4,0.6,2.6,-0.4,2.3
8,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4433254.png"" height=""40""></img>",Kendall Brown,Wing,19.1,80,"6'11""",205,13,24.2,12.3,1.5,1.3,1.2,0.4,1.5,2.4,3.9,2,62,5,21,71.6,71.89999999999999,19.2,10.9,13.3,2.7,1.8,7.2,11,9.1,134.8,84.5,1.3,0.9,2.2,6.6,4.4,11
9,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4683634.png&w=350&h=254"" height=""40""></img>",Bennedict Mathurin,Wing,20,78,"6'10""",210,12,31.3,18.3,2.1,2.1,1.1,0.3,2.2,4.4,6.6,1.7,48,28,39,58.4,61.8,24.4,11,12.4,1.8,1.1,8,13.5,11,122.6,87.6,1.4,1,2.4,7.5,2.8,10.3
10,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4683749.png"" height=""40""></img>",TyTy Washington,Combo Guard,20.6,75,"6'9""",197,13,30.5,14,3.9,1.6,1.1,0.2,0.9,3.2,4.2,1.5,56,19,13,56.3,57.699999999999996,21,20.3,11.8,2,0.8,3.5,11.1,7.5,125.5,89.7,1.4,1,2.4,4.7,3.4,8.1
